barrel_pct,batter_hr_profile,bullpen_hr_risk,bvp_context,confidence,edge_pct,estimated_hr_probability,fair_odds,game,hard_hit_pct,hr_odds,implied_probability,label,last_update,launch_angle,lineup_spot,lineup_status,market_odds_status,opposing_pitcher_hr9,park_weather_impact,pitch_type_fit,pitcher_barrel_allowed,pitcher_hard_hit_allowed,player,pull_fly_ball_profile,rank,required_recheck,short_reason,source,team,unit_size,xslg,xwoba
0.178,9 HR / 115 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-2.17,0.182371,+448,LAD@STL,0.534,+390,0.204082,PASS,2026-05-01,12.3,7,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,0.095,0.429,Max Muncy,unavailable,1,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,0.592,0.413
0.181,12 HR / 143 PA,5.88,unavailable/not used; BvP is supporting only,6.0,-5.59,0.156838,+538,HOU@BOS,0.495,+370,0.212766,PASS,2026-05-01,19.5,2,official_mlb_schedule,valid,,59F / 7 mph wind / 0% precip / open-air; roof not applicable,unavailable,,,Yordan Alvarez,unavailable,2,pitch-type matchup missing,Confidence cap prevents a BET label.,rotowire_props_yes_only,HOU,0.0,0.812,0.529
0.27,12 HR / 135 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-16.41,0.151357,+561,BAL@NYY,0.541,+217,0.315457,PASS,2026-05-01,13.9,3,official_mlb_schedule,valid,0.72973,58F / 10 mph wind / 2% precip / open-air; roof not applicable,favorable,0.079,0.395,Aaron Judge,unavailable,3,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,NYY,0.0,0.685,0.455
0.211,11 HR / 139 PA,4.33,unavailable/not used; BvP is supporting only,7.5,-12.25,0.147798,+577,PHI@MIA,0.507,+270,0.27027,PASS,2026-05-01,22.0,1,official_mlb_schedule,valid,1.723404,81F / 12 mph wind / 0% precip / retractable roof; status unverified,neutral,0.149,0.46,Kyle Schwarber,unavailable,4,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,PHI,0.0,0.542,0.401
0.183,9 HR / 143 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-12.15,0.147352,+579,ATL@COL,0.495,+272,0.268817,PASS,2026-05-01,16.5,4,official_mlb_schedule,valid,1.963636,60F / 7 mph wind / 1% precip / open-air; roof not applicable,favorable,0.113,0.339,Matt Olson,unavailable,5,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,ATL,0.0,0.579,0.389
0.203,10 HR / 122 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-10.07,0.146783,+581,BAL@NYY,0.609,+304,0.247525,PASS,2026-05-01,11.5,2,official_mlb_schedule,valid,0.72973,58F / 10 mph wind / 2% precip / open-air; roof not applicable,favorable,0.079,0.395,Ben Rice,unavailable,6,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,NYY,0.0,0.617,0.446
0.221,9 HR / 137 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-6.32,0.140906,+610,CIN@PIT,0.623,+390,0.204082,PASS,2026-05-01,8.8,1,official_mlb_schedule,valid,1.551724,49F / 11 mph wind / 59% precip / open-air; roof not applicable,neutral,0.085,0.462,Oneil Cruz,unavailable,7,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,PIT,0.0,0.539,0.366
0.292,10 HR / 155 PA,10.0,unavailable/not used; BvP is supporting only,5.8,,0.137537,+627,MIL@WSH,0.639,,,WATCHLIST,,9.8,1,official_mlb_schedule,missing,1.102041,67F / 10 mph wind / 1% precip / open-air; roof not applicable,favorable,0.044,0.368,James Wood,unavailable,8,prop price missing,Missing current/timestamped prop price; cannot be a bet.,,WSH,0.0,0.62,0.433
0.215,6 HR / 139 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-11.07,0.135576,+638,LAD@STL,0.519,+306,0.246305,PASS,2026-05-01,12.4,1,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,0.095,0.429,Shohei Ohtani,unavailable,9,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,0.548,0.411
0.159,9 HR / 121 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-9.79,0.128309,+679,ATL@COL,0.54,+342,0.226244,PASS,2026-05-01,24.7,3,official_mlb_schedule,valid,1.391753,60F / 7 mph wind / 1% precip / open-air; roof not applicable,neutral,0.073,0.427,Hunter Goodman,unavailable,10,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,COL,0.0,0.468,0.332
