rank,player,team,game,lineup_spot,hr_odds,implied_probability,estimated_hr_probability,fair_odds,edge_pct,weather_park,pitch_type_matchup,confidence,recommendation,unit_size,short_reasoning,source,last_update
1,Aaron Judge,unavailable,BAL@NYY,unavailable,217,0.3155,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
2,Munetaka Murakami,unavailable,CWS@SD,unavailable,256,0.2809,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
3,Matt Olson,unavailable,ATL@COL,unavailable,279,0.2639,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
4,Kyle Schwarber,unavailable,PHI@MIA,unavailable,284,0.2604,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
5,Juan Soto,unavailable,NYM@LAA,unavailable,294,0.2538,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
6,Mike Trout,unavailable,NYM@LAA,unavailable,297,0.2519,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
7,Ben Rice,unavailable,BAL@NYY,unavailable,304,0.2475,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
8,Shohei Ohtani,unavailable,LAD@STL,unavailable,308,0.2451,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
9,Shea Langeliers,unavailable,CLE@A'S,unavailable,320,0.2381,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
10,Cal Raleigh,unavailable,KC@SEA,unavailable,321,0.2375,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
11,Junior Caminero,unavailable,SF@TB,unavailable,337,0.2288,,,,neutral dome,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
12,Jose Ramirez,unavailable,CLE@A'S,unavailable,337,0.2288,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
