rank,player,team,game,prop,line,current_odds,implied_probability,fair_probability,fair_price,edge_pct,confidence,recommendation,short_reasoning,required_recheck,source,last_update
1,Brendan Donovan,unavailable,KC@SEA,2+ total bases,1.5,50,0.6667,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_yes_only,2026-05-01
2,Christian Vazquez,unavailable,HOU@BOS,2+ total bases,0.5,-185,0.6491,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
3,Jasson Dominguez,unavailable,BAL@NYY,2+ total bases,0.5,-175,0.6364,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
4,Joey Ortiz,unavailable,MIL@WSH,2+ total bases,0.5,-158,0.6124,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
5,Luisangel Acuna,unavailable,CWS@SD,2+ total bases,0.5,-150,0.6,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
6,Ozzie Albies,unavailable,ATL@COL,2+ total bases,1.5,-140,0.5833,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
7,Drake Baldwin,unavailable,ATL@COL,2+ total bases,1.5,-132,0.569,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
8,Trent Grisham,unavailable,BAL@NYY,2+ total bases,0.5,-130,0.5652,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
9,Ronald Acuna,unavailable,ATL@COL,2+ total bases,1.5,-130,0.5652,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
10,Tyrone Taylor,unavailable,NYM@LAA,2+ total bases,0.5,-125,0.5556,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
11,Yordan Alvarez,unavailable,HOU@BOS,2+ total bases,1.5,-120,0.5455,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
12,Matt Olson,unavailable,ATL@COL,2+ total bases,1.5,-120,0.5455,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
13,Austin Riley,unavailable,ATL@COL,2+ total bases,1.5,-120,0.5455,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
14,Drew Millas,unavailable,MIL@WSH,2+ total bases,0.5,-115,0.5349,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
15,Shohei Ohtani,unavailable,LAD@STL,2+ total bases,1.5,-114,0.5327,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
16,Jose Ramirez,unavailable,CLE@ATH,2+ total bases,1.5,-112,0.5283,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
17,Aaron Judge,unavailable,BAL@NYY,2+ total bases,1.5,-110,0.5238,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
18,Jerar Encarnacion,unavailable,SF@TB,2+ total bases,0.5,-110,0.5238,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
19,Mickey Moniak,unavailable,ATL@COL,2+ total bases,1.5,-105,0.5122,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
20,Bo Bichette,unavailable,NYM@LAA,2+ total bases,1.5,-105,0.5122,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
21,Shea Langeliers,unavailable,CLE@ATH,2+ total bases,1.5,-103,0.5074,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
22,Byron Buxton,unavailable,TOR@MIN,2+ total bases,1.5,100,0.5,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
23,Vladimir Guerrero,unavailable,TOR@MIN,2+ total bases,1.5,100,0.5,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
24,Hunter Goodman,unavailable,ATL@COL,2+ total bases,1.5,100,0.5,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
25,Jacob Wilson,unavailable,CLE@ATH,2+ total bases,1.5,100,0.5,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
26,Yandy Diaz,unavailable,SF@TB,2+ total bases,1.5,102,0.495,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
27,Mauricio Dubon,unavailable,ATL@COL,2+ total bases,1.5,103,0.4926,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
28,Jarren Duran,unavailable,HOU@BOS,2+ total bases,1.5,104,0.4902,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
29,Trea Turner,unavailable,PHI@MIA,2+ total bases,1.5,104,0.4902,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
30,George Springer,unavailable,TOR@MIN,2+ total bases,1.5,104,0.4902,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
31,Jake Rogers,unavailable,TEX@DET,2+ total bases,0.5,105,0.4878,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
32,Juan Soto,unavailable,NYM@LAA,2+ total bases,1.5,105,0.4878,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
33,Willson Contreras,unavailable,HOU@BOS,2+ total bases,1.5,106,0.4854,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
