avg_exit_velocity_allowed,barrel_allowed_pct,bb_pct,chase_pct,confirmation_status,csw_pct,er_hits_walks_props,era,fip,first_five_implication,fly_ball_pct,full_game_implication,game_key,ground_ball_pct,handedness,hard_hit_allowed_pct,hr_per_9,injury_workload_context,ip,k_minus_bb_pct,k_pct,matchup_implication,opponent,outs_prop_line_odds,pitch_count_trend,pitch_mix,pitch_speeds,pitcher,platoon_splits,player_id,recent_3_starts,recent_velocity_trend,rest_days,siera,strikeout_prop_line_odds,team,times_through_order_concern,whiff_pct,whip,xba_allowed,xera,xfip,xslg_allowed,xwoba_allowed
92.0,0.094,0.070922,,mlb_probable_current,,unavailable,4.45,,unavailable without F5 market,,bullpen context included in game table,AZ@CHC,,R,0.458,0.556701,not sourced; no inference from absences,32.333333,0.070922,0.141844,see game prediction and hitter pitch-type rows,CHC,unavailable,0,4-Seam Fastball 38.3%; Slider 24.8%; Curveball 19.4%; Changeup 12.9%,FF 93.6; SI 92.7; SL 89.0; CH 86.8,Zac Gallen,unavailable,668678,"{""bb"": 1, ""era"": 3.292682926829268, ""hr"": 1, ""ip"": 13.666666666666668, ""k"": 8, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,AZ,unavailable,,1.52,0.296,4.95,,0.473,0.348
92.3,0.072,0.06338,,mlb_probable_current,,unavailable,4.41,,unavailable without F5 market,,bullpen context included in game table,AZ@CHC,,R,0.47,0.826531,not sourced; no inference from absences,32.666667,0.147887,0.211268,see game prediction and hitter pitch-type rows,AZ,unavailable,0,4-Seam Fastball 39.4%; Split-Finger 18.3%; Slider 12.7%; Sinker 8.5%,FF 94.0; SI 92.6; FC 87.2; SL 86.1,Colin Rea,unavailable,607067,"{""bb"": 6, ""era"": 5.625, ""hr"": 2, ""ip"": 16.0, ""k"": 14, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,CHC,unavailable,,1.32,0.255,4.27,,0.433,0.326
90.2,0.147,0.112782,,mlb_probable_current,,unavailable,4.35,,unavailable without F5 market,,bullpen context included in game table,TEX@DET,,L,0.467,1.451613,not sourced; no inference from absences,31.0,0.203008,0.315789,see game prediction and hitter pitch-type rows,DET,unavailable,0,4-Seam Fastball 42.9%; Curveball 22.7%; Changeup 12.7%; Slider 8.4%,FF 95.7; SI 95.6; FC 90.1; SL 86.0,MacKenzie Gore,unavailable,669022,"{""bb"": 10, ""era"": 6.136363636363636, ""hr"": 3, ""ip"": 14.666666666666668, ""k"": 17, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,TEX,unavailable,,1.29,0.248,4.63,,0.43,0.338
90.8,0.103,0.180328,,mlb_probable_current,,unavailable,5.33,,unavailable without F5 market,,bullpen context included in game table,TEX@DET,,R,0.456,1.421053,not sourced; no inference from absences,25.333333,0.04918,0.229508,see game prediction and hitter pitch-type rows,TEX,unavailable,0,4-Seam Fastball 45.2%; Slider 24.5%; Curveball 20.5%; Sinker 6.6%,FF 92.7; SI 90.5; SL 84.7; CH 84.8,Jack Flaherty,unavailable,656427,"{""bb"": 11, ""era"": 5.5588235294117645, ""hr"": 3, ""ip"": 11.333333333333334, ""k"": 14, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,DET,unavailable,,1.74,0.224,5.46,,0.4,0.363
92.4,0.085,0.052239,,mlb_probable_current,,unavailable,4.97,,unavailable without F5 market,,bullpen context included in game table,CIN@PIT,,R,0.462,1.551724,not sourced; no inference from absences,29.0,0.089552,0.141791,see game prediction and hitter pitch-type rows,PIT,unavailable,0,Sinker 48.7%; Slider 31.4%; Sweeper 12.0%; 4-Seam Fastball 4.1%,FF 90.2; SI 91.0; FC 86.9; SL 82.2,Brady Singer,unavailable,663903,"{""bb"": 4, ""era"": 3.1153846153846154, ""hr"": 3, ""ip"": 17.333333333333332, ""k"": 6, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,CIN,unavailable,,1.62,0.295,5.35,,0.483,0.36
86.5,0.03,0.080292,,mlb_probable_current,,unavailable,3.18,,unavailable without F5 market,,bullpen context included in game table,CIN@PIT,,R,0.39,0.264706,not sourced; no inference from absences,34.0,0.10219,0.182482,see game prediction and hitter pitch-type rows,CIN,unavailable,0,4-Seam Fastball 34.2%; Sweeper 19.7%; Sinker 18.2%; Changeup 11.7%,FF 93.4; SI 92.2; FC 90.6; SL 87.9,Mitch Keller,unavailable,656605,"{""bb"": 6, ""era"": 5.625, ""hr"": 1, ""ip"": 16.0, ""k"": 14, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,PIT,unavailable,,1.15,0.269,3.85,,0.365,0.311
87.3,0.044,0.094891,,mlb_probable_current,,unavailable,3.31,,unavailable without F5 market,,bullpen context included in game table,MIL@WSH,,R,0.368,1.102041,not sourced; no inference from absences,32.666667,0.277372,0.372263,see game prediction and hitter pitch-type rows,WSH,unavailable,0,4-Seam Fastball 61.3%; Slider 23.1%; Curveball 13.2%; Changeup 2.4%,FF 99.1; SL 94.6; CH 92.5; CU 86.8,Jacob Misiorowski,unavailable,694819,"{""bb"": 4, ""era"": 3.306122448979592, ""hr"": 2, ""ip"": 16.333333333333332, ""k"": 23, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,MIL,unavailable,,1.1,0.201,3.05,,0.296,0.279
90.9,0.125,0.085271,,mlb_probable_current,,unavailable,4.85,,unavailable without F5 market,,bullpen context included in game table,MIL@WSH,,R,0.512,1.213483,not sourced; no inference from absences,29.666667,0.178295,0.263566,see game prediction and hitter pitch-type rows,MIL,unavailable,0,4-Seam Fastball 29.7%; Sinker 22.7%; Curveball 20.2%; Cutter 12.1%,FF 92.9; SI 92.1; FC 88.4; CH 84.9,Jake Irvin,unavailable,663623,"{""bb"": 3, ""era"": 2.8723404255319145, ""hr"": 1, ""ip"": 15.666666666666668, ""k"": 18, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,WSH,unavailable,,1.18,0.239,4.6,,0.435,0.337
89.9,0.079,0.0625,,mlb_probable_current,,unavailable,2.19,,unavailable without F5 market,,bullpen context included in game table,BAL@NYY,,L,0.395,0.72973,not sourced; no inference from absences,12.333333,0.083333,0.145833,see game prediction and hitter pitch-type rows,NYY,unavailable,0,4-Seam Fastball 40.2%; Curveball 25.5%; Slider 17.9%; Changeup 10.3%,FF 91.7; SI 90.9; SL 86.2; CH 84.3,Cade Povich,unavailable,700249,"{""bb"": 3, ""era"": 2.189189189189189, ""hr"": 1, ""ip"": 12.333333333333334, ""k"": 7, ""pitches"": 0, ""starts"": 2}",unavailable,,,unavailable,BAL,unavailable,,0.97,0.253,3.64,,0.39,0.303
90.8,0.06,0.054264,,mlb_probable_current,,unavailable,2.59,,unavailable without F5 market,,bullpen context included in game table,BAL@NYY,,R,0.429,0.861702,not sourced; no inference from absences,31.333333,0.232558,0.286822,see game prediction and hitter pitch-type rows,BAL,unavailable,0,4-Seam Fastball 42.5%; Sinker 25.7%; Sweeper 23.0%; Changeup 5.9%,FF 93.9; SI 93.6; CH 86.9; CU 81.9,Will Warren,unavailable,701542,"{""bb"": 2, ""era"": 2.1599999999999997, ""hr"": 1, ""ip"": 16.666666666666668, ""k"": 23, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,NYY,unavailable,,1.15,0.249,3.51,,0.381,0.298
88.0,0.072,0.083916,,mlb_probable_current,,unavailable,6.25,,unavailable without F5 market,,bullpen context included in game table,HOU@BOS,,R,0.371,1.989474,not sourced; no inference from absences,31.666667,0.146853,0.230769,see game prediction and hitter pitch-type rows,BOS,unavailable,0,4-Seam Fastball 26.0%; Changeup 25.8%; Slider 17.9%; Sinker 16.2%,FF 95.1; SI 94.6; SL 89.8; CH 87.1,Mike Burrows,unavailable,681347,"{""bb"": 6, ""era"": 6.8936170212765955, ""hr"": 4, ""ip"": 15.666666666666668, ""k"": 18, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,HOU,unavailable,,1.67,0.241,3.85,,0.393,0.311
,,,,mlb_probable_current,,unavailable,,,unavailable without F5 market,,bullpen context included in game table,HOU@BOS,,L,,,not sourced; no inference from absences,0.0,,,see game prediction and hitter pitch-type rows,HOU,unavailable,0,,,Jake Bennett,unavailable,687562,"{""bb"": 0, ""era"": null, ""hr"": 0, ""ip"": 0.0, ""k"": 0, ""pitches"": 0, ""starts"": 0}",unavailable,,,unavailable,BOS,unavailable,,,,,,,
