bullpen_matchup,bvp_context,confidence,edge_pct,estimated_fair_probability,fair_odds,game,implied_probability,label,last_update,lineup_spot,lineup_status,market_odds_status,odds,park_weather_impact,pitch_type_matchup,player,rank,recent_form,required_recheck,season_tb_profile,short_reason,source,split_vs_handedness,statcast_contact_quality,tb_line,team,unit_size
10.0,unavailable/not used; BvP is supporting only,7.5,12.63,0.55,-122,LAD@STL,0.423729,LEAN,2026-05-01,7,official_mlb_schedule,valid,+136,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,Max Muncy,1,"{""avg"": 0.38095238095238093, ""games"": 12, ""hr_rate"": 0.10416666666666667, ""ops"": 1.2916666666666667, ""pa"": 48, ""slg"": 0.8333333333333334, ""tb_rate"": 0.7291666666666666}","price, lineup, starter, weather, bullpen",0.594 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG 0.592; hard-hit 53.4%,1.5,LAD,0.0
10.0,unavailable/not used; BvP is supporting only,5.0,12.48,0.284823,+251,AZ@CHC,0.16,LEAN,2026-05-01,3,official_mlb_schedule,valid,+525,44F / 10 mph wind / 5% precip / open-air; roof not applicable,neutral,Alex Bregman,2,"{""avg"": 0.28, ""games"": 13, ""hr_rate"": 0.01694915254237288, ""ops"": 0.7928813559322034, ""pa"": 59, ""slg"": 0.42, ""tb_rate"": 0.3559322033898305}",game already started or completed,0.375 TB/AB,Confidence cap prevents a BET label.,rotowire_props_two_way,unavailable,xSLG 0.413; hard-hit 45.2%,2.5,CHC,0.0
10.0,unavailable/not used; BvP is supporting only,5.0,9.24,0.324995,+208,AZ@CHC,0.232558,LEAN,2026-05-01,7,official_mlb_schedule,valid,+330,44F / 10 mph wind / 5% precip / open-air; roof not applicable,neutral,Carson Kelly,3,"{""avg"": 0.26666666666666666, ""games"": 8, ""hr_rate"": 0.030303030303030304, ""ops"": 0.7030303030303031, ""pa"": 33, ""slg"": 0.4, ""tb_rate"": 0.36363636363636365}",game already started or completed,0.449 TB/AB,Confidence cap prevents a BET label.,rotowire_props_two_way,unavailable,xSLG 0.454; hard-hit 50.0%,2.5,CHC,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,8.97,0.489693,+104,MIL@WSH,0.4,LEAN,2026-05-01,1,official_mlb_schedule,valid,+150,67F / 10 mph wind / 1% precip / open-air; roof not applicable,favorable,James Wood,4,"{""avg"": 0.20454545454545456, ""games"": 13, ""hr_rate"": 0.08064516129032258, ""ops"": 0.9875366568914956, ""pa"": 62, ""slg"": 0.5681818181818182, ""tb_rate"": 0.4032258064516129}","price, lineup, starter, weather, bullpen",0.541 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG 0.620; hard-hit 63.9%,1.5,WSH,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,8.2,0.547128,-121,BAL@NYY,0.465116,LEAN,2026-05-01,2,official_mlb_schedule,valid,+115,58F / 10 mph wind / 2% precip / open-air; roof not applicable,favorable,Ben Rice,5,"{""avg"": 0.32558139534883723, ""games"": 12, ""hr_rate"": 0.09615384615384616, ""ops"": 1.1247763864042932, ""pa"": 52, ""slg"": 0.7209302325581395, ""tb_rate"": 0.5961538461538461}","price, lineup, starter, weather, bullpen",0.714 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG 0.617; hard-hit 60.9%,1.5,NYY,0.0
4.33,unavailable/not used; BvP is supporting only,7.5,6.26,0.493667,+103,PHI@MIA,0.431034,LEAN,2026-05-01,1,official_mlb_schedule,valid,+132,81F / 12 mph wind / 0% precip / retractable roof; status unverified,neutral,Kyle Schwarber,6,"{""avg"": 0.22916666666666666, ""games"": 13, ""hr_rate"": 0.08333333333333333, ""ops"": 1.0125, ""pa"": 60, ""slg"": 0.6458333333333334, ""tb_rate"": 0.5166666666666667}","price, lineup, starter, weather, bullpen",0.595 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG 0.542; hard-hit 50.7%,1.5,PHI,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,6.01,0.412246,+143,CIN@PIT,0.352113,LEAN,2026-05-01,7,official_mlb_schedule,valid,+184,49F / 11 mph wind / 59% precip / open-air; roof not applicable,favorable,JJ Bleday,7,"{""avg"": 0.3333333333333333, ""games"": 3, ""hr_rate"": 0.1111111111111111, ""ops"": 1.3888888888888888, ""pa"": 9, ""slg"": 0.8333333333333334, ""tb_rate"": 0.5555555555555556}","price, lineup, starter, weather, bullpen",0.833 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG ; hard-hit %,1.5,CIN,0.0
3.4,unavailable/not used; BvP is supporting only,7.5,5.13,0.421703,+137,TEX@DET,0.37037,LEAN,2026-05-01,5,official_mlb_schedule,valid,+170,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,Riley Greene,8,"{""avg"": 0.32558139534883723, ""games"": 13, ""hr_rate"": 0.05660377358490566, ""ops"": 1.0342255375164546, ""pa"": 53, ""slg"": 0.5813953488372093, ""tb_rate"": 0.4716981132075472}","price, lineup, starter, weather, bullpen",0.460 TB/AB,"Positive edge, but final card requires late price and lineup recheck.",rotowire_props_two_way,unavailable,xSLG 0.543; hard-hit 50.0%,1.5,DET,0.0
3.4,unavailable/not used; BvP is supporting only,7.5,2.63,0.396712,+152,TEX@DET,0.37037,LEAN,2026-05-01,7,official_mlb_schedule,valid,+170,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,Spencer Torkelson,9,"{""avg"": 0.2391304347826087, ""games"": 13, ""hr_rate"": 0.09803921568627451, ""ops"": 0.9441602728047741, ""pa"": 51, ""slg"": 0.6304347826086957, ""tb_rate"": 0.5686274509803921}","price, lineup, starter, weather, bullpen",0.436 TB/AB,Small positive edge; not enough to clear final-card threshold.,rotowire_props_two_way,unavailable,xSLG 0.495; hard-hit 47.8%,1.5,DET,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,2.52,0.364156,+175,KC@SEA,0.338983,LEAN,2026-05-01,7,official_mlb_schedule,valid,+195,64F / 7 mph wind / 3% precip / retractable roof; status unverified,neutral,Cole Young,10,"{""avg"": 0.3953488372093023, ""games"": 12, ""hr_rate"": 0.020833333333333332, ""ops"": 0.928294573643411, ""pa"": 48, ""slg"": 0.5116279069767442, ""tb_rate"": 0.4583333333333333}","price, lineup, starter, weather, bullpen",0.420 TB/AB,Small positive edge; not enough to clear final-card threshold.,rotowire_props_two_way,unavailable,xSLG 0.460; hard-hit 40.7%,1.5,SEA,0.0
9.74,unavailable/not used; BvP is supporting only,7.5,2.34,0.461992,+116,TEX@DET,0.438596,LEAN,2026-05-01,4,official_mlb_schedule,valid,+128,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,Josh Jung,11,"{""avg"": 0.38636363636363635, ""games"": 12, ""hr_rate"": 0.058823529411764705, ""ops"": 1.1813725490196079, ""pa"": 51, ""slg"": 0.75, ""tb_rate"": 0.6470588235294118}","price, lineup, starter, weather, bullpen",0.545 TB/AB,Small positive edge; not enough to clear final-card threshold.,rotowire_props_two_way,unavailable,xSLG 0.470; hard-hit 53.0%,1.5,TEX,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,2.1,0.544767,-120,BAL@NYY,0.52381,LEAN,2026-05-01,3,official_mlb_schedule,valid,-110,58F / 10 mph wind / 2% precip / open-air; roof not applicable,favorable,Aaron Judge,12,"{""avg"": 0.28205128205128205, ""games"": 12, ""hr_rate"": 0.07547169811320754, ""ops"": 1.119496855345912, ""pa"": 53, ""slg"": 0.6666666666666666, ""tb_rate"": 0.49056603773584906}","price, lineup, starter, weather, bullpen",0.622 TB/AB,Small positive edge; not enough to clear final-card threshold.,rotowire_props_two_way,unavailable,xSLG 0.685; hard-hit 54.1%,1.5,NYY,0.0
5.88,unavailable/not used; BvP is supporting only,6.0,1.51,0.55,-122,HOU@BOS,0.534884,PASS,2026-05-01,2,official_mlb_schedule,valid,-115,59F / 7 mph wind / 0% precip / open-air; roof not applicable,unavailable,Yordan Alvarez,13,"{""avg"": 0.39215686274509803, ""games"": 12, ""hr_rate"": 0.09259259259259259, ""ops"": 1.1710239651416123, ""pa"": 54, ""slg"": 0.7450980392156863, ""tb_rate"": 0.7037037037037037}",pitch-type matchup missing,0.737 TB/AB,Confidence cap prevents a BET label.,rotowire_props_two_way,unavailable,xSLG 0.812; hard-hit 49.5%,1.5,HOU,0.0
10.0,unavailable/not used; BvP is supporting only,5.0,1.41,0.273829,+265,AZ@CHC,0.25974,PASS,2026-05-01,8,official_mlb_schedule,valid,+285,44F / 10 mph wind / 5% precip / open-air; roof not applicable,neutral,Pete Crow-Armstrong,14,"{""avg"": 0.25, ""games"": 13, ""hr_rate"": 0.0392156862745098, ""ops"": 0.7878787878787878, ""pa"": 51, ""slg"": 0.45454545454545453, ""tb_rate"": 0.39215686274509803}",game already started or completed,0.361 TB/AB,Confidence cap prevents a BET label.,rotowire_props_two_way,unavailable,xSLG 0.364; hard-hit 46.8%,1.5,CHC,0.0
10.0,unavailable/not used; BvP is supporting only,7.5,0.08,0.334092,+199,SF@TB,0.333333,PASS,2026-05-01,3,official_mlb_schedule,valid,+200,79F / 8 mph wind / 0% precip / fixed dome,unfavorable,Ryan Vilade,15,"{""avg"": 0.5454545454545454, ""games"": 5, ""hr_rate"": 0.0, ""ops"": 1.2196969696969697, ""pa"": 12, ""slg"": 0.6363636363636364, ""tb_rate"": 0.5833333333333334}","price, lineup, starter, weather, bullpen",0.406 TB/AB,No clear model edge at the available price.,rotowire_props_two_way,unavailable,xSLG ; hard-hit %,1.5,TB,0.0
