report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-18,KC@NYY,KC,Maikel Garcia,Will Warren,,,,,NA,,,,,0.524,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Bobby Witt Jr.,Will Warren,,,,,NA,,,,,0.443,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Vinnie Pasquantino,Will Warren,,,,,NA,,,,,0.387,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Jac Caglianone,Will Warren,,,,,NA,,,,,0.416,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Carter Jensen,Will Warren,,,,,NA,,,,,0.647,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Michael Massey,Will Warren,,,,,NA,,,,,0.295,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Isaac Collins,Will Warren,,,,,NA,,,,,0.305,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Lane Thomas,Will Warren,,,,,NA,,,,,0.444,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,KC,Kyle Isbel,Will Warren,,,,,NA,,,,,0.248,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Amed Rosario,Noah Cameron,,,,,NA,,,,,0.672,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Aaron Judge,Noah Cameron,,,,,NA,,,,,0.813,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Cody Bellinger,Noah Cameron,,,,,NA,,,,,0.412,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Giancarlo Stanton,Noah Cameron,,,,,NA,,,,,0.356,3,,,,,,not_scored,not_scored,Display only,none,not_scored
