report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,market_total,market_over_american,market_under_american,weather_summary,weather_temp_f,weather_wind_mph,weather_precip_pct,bullpen_away_score,bullpen_home_score,recent_form_away_score,recent_form_home_score,game_status_bucket,game_state,game_state_detail,game_status_note,away_score,home_score,verification_status,verification_notes,implied_away_pct_nv,implied_home_pct_nv,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary,scoring_status
2026-04-19,SF,WSH,1:35 PM,Robbie Ray,PJ Poulin,-135,112,,,,55F / 13 mph wind / 10% precip / Open,54.8,13.3,10,0.363,0.310,0.550,0.462,final,Final,Final,"Final — SF 0, WSH 3",0,3,Partial,starter_mismatch_rotowire,54.91,45.09,,,,,,not_scored,,not_scored,starter_mismatch_rotowire,Medium,"Robbie Ray gives the Giants the cleaner starting edge, but Nationals Park can flatten a modest road-favorite number if the Washington lineup posts a full contact-heavy order.",not_scored
2026-04-19,TB,PIT,1:35 PM,Shane McClanahan,Mitch Keller,100,-133,,,,51F / 20 mph wind / 0% precip / Open,50.8,19.8,0,0.260,0.326,0.501,0.451,final,Final,Final,"Final — TB 3, PIT 6",3,6,Verified,,46.69,53.31,,,,,,not_scored,,not_scored,,Medium,McClanahan vs Keller sets up as a run-suppressed duel at PNC; pricing is driven more by home field and bullpen path than by a huge early-offense expectation.,not_scored
2026-04-19,KC,NYY,1:35 PM,Cole Ragans,Ryan Weathers,131,-150,,,,46F / 15 mph wind / 54% precip / Open,45.8,14.8,54,0.341,0.448,0.421,0.586,final,Final,Final,"Final — KC 0, NYY 7",0,7,Verified,,41.91,58.09,,,,,,not_scored,,not_scored,,Medium,"Ragans keeps Kansas City live, but Yankee Stadium still punishes mistakes and the market leans to New York's lineup ceiling over the full nine.",not_scored
2026-04-19,BAL,CLE,1:40 PM,Trevor Rogers,Joey Cantillo,104,-115,,,,49F / 18 mph wind / 0% precip / Open,48.9,17.8,0,0.477,0.321,0.499,0.501,final,Final,Final,"Final — BAL 4, CLE 8",4,8,Verified,,47.82,52.18,,,,,,not_scored,,not_scored,,Low,Guardians get a light home lean in a contact-oriented matchup; this profiles more like a bullpen and sequencing game than a dominant starter mismatch.,not_scored
2026-04-19,MIL,MIA,1:40 PM,Jacob Misiorowski,Eury Pérez,104,-140,,,,84F / 10 mph wind / 4% precip / Retractable,83.7,9.7,4,0.425,0.409,0.426,0.516,final,Final,Final,"Final — MIL 3, MIA 5",3,5,Verified,,45.66,54.34,,,,,,not_scored,,not_scored,,Medium,"Misiorowski and Eury Perez bring big raw stuff, so Miami's edge is more about home run prevention and run environment than a market-wide offensive gap.",not_scored
2026-04-19,STL,HOU,2:10 PM,Matthew Liberatore,Mike Burrows,120,-140,,,,64F / 12 mph wind / 0% precip / Retractable,64.1,11.6,0,0.329,0.371,0.509,0.534,final,Final,Final,"Final — STL 7, HOU 5",7,5,Verified,,43.80,56.20,,,,,,not_scored,,not_scored,,Medium,"Houston is priced as the steadier home side, but neither starter carries a massive separator, so this stays in the range where late lineup quality and bullpen leverage matter.",not_scored
2026-04-19,CIN,MIN,2:10 PM,Brady Singer,Bailey Ober,-101,-113,,,,44F / 11 mph wind / 0% precip / Open,43.7,11.2,0,0.358,0.328,0.414,0.461,final,Final,Final,"Final — CIN 7, MIN 4",7,4,Verified,,48.64,51.36,,,,,,not_scored,,not_scored,,Medium,"Singer vs Ober keeps this near pick'em territory, with Minnesota getting a small home bump if the roof holds down early extra-base variance.",not_scored
2026-04-19,NYM,CHC,2:20 PM,Tobias Myers,Javier Assad,120,-140,,,,47F / 14 mph wind / 13% precip / Open,47.0,13.7,13,0.335,0.447,0.372,0.573,final,Final,Final,"Final — NYM 1, CHC 2",1,2,Partial,starter_mismatch_rotowire,43.80,56.20,,,,,,not_scored,,not_scored,starter_mismatch_rotowire,Medium,"Wrigley remains sensitive to weather and late lineup shape; the Cubs are favored, but not by enough to ignore any wind or scratch changes.",not_scored
2026-04-19,LAD,COL,3:10 PM,Roki Sasaki,Michael Lorenzen,-225,190,,,,70F / 3 mph wind / 0% precip / Open,70.5,3.2,0,0.448,0.393,0.604,0.548,final,Final,Final,"Final — LAD 6, COL 9",6,9,Verified,,66.75,33.25,,,,,,not_scored,,not_scored,,Medium-High,"Coors Field keeps the run environment elevated, but the Dodgers still bring the most complete roster edge on the board with Sasaki over Lorenzen.",not_scored
2026-04-19,CWS,ATH,4:05 PM,Noah Schultz,Jeffrey Springs,133,-156,,,,74F / 8 mph wind / 0% precip / Open,74.4,7.6,0,0.330,0.390,0.468,0.421,final,Final,Final,"Final — CWS 7, ATH 4",7,4,Verified,,41.32,58.68,,,,,,not_scored,,not_scored,,Low,"Sutter Health Park still carries park-model uncertainty, so even with the Athletics favored this is a slate where props and late verification may be cleaner than the side.",not_scored
