report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,hr_market_integrity,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-24,DET@CIN,DET,Jahmai Jones,Andrew Abbott,11.87,40.30,+742,+148,575,-2.94,1.5,192,6.06,0.950,0,A,A,A,,,priced_no_edge,partial,priced_below_prob_gate,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Gleyber Torres,Andrew Abbott,0.40,8.86,+24900,+1028,650,-12.93,1.5,180,-26.85,0.356,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Kevin McGonigle,Andrew Abbott,6.99,41.00,+1330,+144,625,-6.80,1.5,170,3.96,0.700,0,A,C,A,,,priced_no_edge,partial,priced_below_prob_gate,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Matt Vierling,Andrew Abbott,3.47,24.44,+2782,+309,700,-9.03,1.5,185,-10.65,0.482,0,C,D,C,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Dillon Dingler,Andrew Abbott,13.59,50.63,+636,-103,340,-9.13,1.5,100,0.63,0.670,0,A+,A+,A+,,,priced_no_edge,partial,priced_below_gate,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Riley Greene,Andrew Abbott,9.22,44.27,+985,+126,390,-11.19,1.5,130,0.80,0.817,0,A+,B,A+,,,priced_no_edge,partial,priced_below_prob_gate,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Spencer Torkelson,Andrew Abbott,5.36,24.94,+1765,+301,425,-13.68,1.5,135,-17.61,0.495,0,C,D,C,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Hao-Yu  Lee,Andrew Abbott,0.45,10.94,+22206,+814,575,-14.37,1.5,150,-29.06,0.342,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
2026-04-24,DET@CIN,DET,Javier Báez,Andrew Abbott,1.17,18.44,+8454,+442,725,-10.95,1.5,152,-21.24,0.461,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
2026-04-24,DET@CIN,CIN,Dane Myers,Framber Valdez,2.58,23.66,+3778,+323,NA,,1.5,-160,-37.88,0.691,0,C,D,C,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Matt McLain,Framber Valdez,0.40,6.00,+24900,+1567,NA,,1.5,220,-25.25,0.286,0,D,D,D,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Elly De La Cruz,Framber Valdez,11.56,44.78,+765,+123,NA,,1.5,180,9.07,0.853,0,A+,A,A+,,,unpriced,partial,priced_below_prob_gate,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Sal Stewart,Framber Valdez,11.27,43.25,+787,+131,NA,,1.5,111,-4.14,0.654,0,A+,A,A+,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Spencer Steer,Framber Valdez,7.02,31.39,+1324,+219,NA,,1.5,135,-11.16,0.691,0,B,C,B,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Nathaniel Lowe,Framber Valdez,0.40,14.67,+24900,+582,NA,,1.5,178,-21.30,0.462,0,D,D,D,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Tyler Stephenson,Framber Valdez,2.73,14.37,+3558,+596,NA,,1.5,180,-21.35,0.247,0,D,D,D,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Rece Hinds,Framber Valdez,0.40,6.00,+24900,+1567,NA,,1.5,195,-27.90,0.230,0,D,D,D,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,DET@CIN,CIN,Ke'Bryan Hayes,Framber Valdez,0.40,6.00,+24900,+1567,NA,,1.5,202,-27.11,0.253,0,D,D,D,,,unpriced,partial,priced_no_edge,Display only,partial,not_scored
2026-04-24,BOS@BAL,BOS,Jarren Duran,Brandon Young,0.40,12.90,+24900,+675,625,-13.39,1.5,165,-24.84,0.411,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,Display only,full,not_scored
