report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,market_total,market_over_american,market_under_american,weather_summary,weather_temp_f,weather_wind_mph,weather_precip_pct,bullpen_away_score,bullpen_home_score,recent_form_away_score,recent_form_home_score,game_status_bucket,game_state,game_state_detail,game_status_note,away_score,home_score,verification_status,verification_notes,implied_away_pct_nv,implied_home_pct_nv,raw_model_away_win_pct,raw_model_home_win_pct,final_away_win_pct,final_home_win_pct,market_blend_alpha,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary,scoring_status
2026-04-24,DET,CIN,6:40 PM,Framber Valdez,Andrew Abbott,-118,-102,,,,78F / 10 mph wind / 17% precip / Open,78.1,10.2,17,0.420,0.433,0.586,0.485,live,Live,In Progress,"Bottom 2nd — DET 1, CIN 0",1,0,Partial,rotowire_hr_home_side_missing,51.74,48.26,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Framber Valdez vs Andrew Abbott. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,BOS,BAL,7:05 PM,Brayan Bello,Brandon Young,102,-120,,,,67F / 3 mph wind / 11% precip / Open,67.3,3.0,11,0.456,0.490,0.403,0.581,live,Live,In Progress,"Bottom 1st — BOS 0, BAL 1",0,1,Partial,rotowire_hr_home_side_missing,47.58,52.42,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Brayan Bello vs Brandon Young. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,CLE,TOR,7:07 PM,Gavin Williams,Max Scherzer,-125,105,,,,43F / 9 mph wind / 1% precip / Retractable,43.4,9.4,1,0.418,0.492,0.553,0.505,live,Live,In Progress,"Top 1st — CLE 1, TOR 0",1,0,Partial,rotowire_hr_home_side_missing,53.25,46.75,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Gavin Williams vs Max Scherzer. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,COL,NYM,7:10 PM,Michael Lorenzen,Freddy Peralta,175,-210,,,,54F / 10 mph wind / 1% precip / Open,54.2,9.8,1,0.417,0.346,0.535,0.356,live,Live,In Progress,"Top 1st — COL 0, NYM 0",0,0,Partial,rotowire_hr_home_side_missing,34.93,65.07,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Michael Lorenzen vs Freddy Peralta. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,MIN,TB,7:10 PM,Taj Bradley,Drew Rasmussen,115,-138,,,,77F / 8 mph wind / 0% precip / Dome,77.4,7.8,0,0.405,0.337,0.515,0.471,live,Live,In Progress,"Middle 1st — MIN 0, TB 0",0,0,Partial,rotowire_hr_home_side_missing,44.51,55.49,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Taj Bradley vs Drew Rasmussen. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,PHI,ATL,7:15 PM,Andrew Painter,Grant Holmes,130,-155,,,,79F / 6 mph wind / 1% precip / Open,78.8,6.5,1,0.441,0.475,0.462,0.566,live,Live,In Progress,"Top 1st — PHI 0, ATL 0",0,0,Partial,rotowire_hr_home_side_missing,41.70,58.30,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Andrew Painter vs Grant Holmes. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,LAA,KC,7:40 PM,Yusei Kikuchi,Noah Cameron,-110,-110,8.5,-110,-110,69F / 6 mph wind / 0% precip / Open,69.2,6.5,0,0.421,0.319,0.540,0.534,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,market_moneyline_missing|market_total_missing,50.00,50.00,,,,,,,,,,PASS,data_blocked,,data_blocked,market_moneyline_missing;market_total_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Yusei Kikuchi vs Noah Cameron. Run compute to refresh lineups, weather, and model outputs before staking.",data_blocked
2026-04-24,WSH,CWS,7:40 PM,PJ Poulin,Bryan Hudson,105,-125,9.5,-110,-110,66F / 5 mph wind / 1% precip / Open,65.8,4.8,1,0.338,0.335,0.477,0.543,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,46.75,53.25,25.00,75.00,41.31,58.69,0.25,41.31,58.69,-5.44,5.44,CWS,A,5.44,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: PJ Poulin vs Bryan Hudson. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-24,PIT,MIL,7:40 PM,Paul Skenes,Brandon Woodruff,-115,-103,7.0,-110,-110,65F / 9 mph wind / 0% precip / Retractable,65.0,9.0,0,0.413,0.373,0.503,0.443,live,Live,Warmup,"Warmup — Top 1st — PIT 0, MIL 0",0,0,Verified,,51.32,48.68,,,,,,,,,,,not_scored,,not_scored,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Paul Skenes vs Brandon Woodruff. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-24,ATH,TEX,8:05 PM,Luis Severino,Nathan Eovaldi,115,-136,8.0,-110,-110,87F / 7 mph wind / 0% precip / Retractable,86.6,6.9,0,0.447,0.410,0.533,0.559,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,44.66,55.34,25.00,75.00,39.75,60.25,0.25,39.75,60.25,-4.92,4.92,TEX,B,4.92,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Luis Severino vs Nathan Eovaldi. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-24,NYY,HOU,8:10 PM,Will Warren,Lance McCullers Jr.,-155,130,9.0,-111,-111,77F / 0 mph wind / 12% precip / Retractable,76.6,0.0,12,0.436,0.372,0.629,0.453,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Verified,,58.30,41.70,63.70,36.30,59.65,40.35,0.25,59.65,40.35,1.35,-1.35,NYY,C,1.35,High,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Will Warren vs Lance McCullers Jr.. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-24,SEA,STL,8:15 PM,George Kirby,Andre Pallante,-146,124,8.0,-110,-110,69F / 2 mph wind / 18% precip / Open,69.2,2.2,18,0.428,0.353,0.556,0.550,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Verified,,57.07,42.93,75.00,25.00,61.55,38.45,0.25,61.55,38.45,4.48,-4.48,SEA,B,4.48,High,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: George Kirby vs Andre Pallante. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-24,CHC,LAD,10:15 PM,Jameson Taillon,Emmet Sheehan,135,-160,9.0,-110,-110,63F / 8 mph wind / 0% precip / Open,62.7,7.6,0,0.409,0.439,,0.530,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,draftkings_hr_away_side_missing|lineup_not_posted_api|recent_form_missing,40.88,59.12,,,,,,,,,,PASS,data_blocked,,data_blocked,draftkings_hr_away_side_missing;lineup_not_posted_api;recent_form_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Jameson Taillon vs Emmet Sheehan. Run compute to refresh lineups, weather, and model outputs before staking.",data_blocked
2026-04-24,MIA,SF,10:15 PM,Sandy Alcantara,Adrian Houser,-115,-105,7.5,-110,-110,55F / 11 mph wind / 0% precip / Open,54.7,11.0,0,0.541,0.477,,0.484,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,draftkings_hr_away_side_missing|lineup_not_posted_api|recent_form_missing,51.08,48.92,,,,,,,,,,PASS,data_blocked,,data_blocked,draftkings_hr_away_side_missing;lineup_not_posted_api;recent_form_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Sandy Alcantara vs Adrian Houser. Run compute to refresh lineups, weather, and model outputs before staking.",data_blocked
