report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,hr_market_integrity,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-25,ATH@TEX,ATH,Shea Langeliers,MacKenzie Gore,11.13,43.54,+799,+130,382,-9.62,1.5,114,-3.19,0.674,0,A+,A,A+,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-25,ATH@TEX,ATH,Nick Kurtz,MacKenzie Gore,15.02,54.49,+566,-120,376,-5.99,0.5,-154,,0.857,0,A+,A+,A+,,,priced_no_edge,partial,line_mismatch_0.5,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
2026-04-25,ATH@TEX,ATH,Colby Thomas,MacKenzie Gore,4.51,20.82,+2115,+380,588,-10.02,0.5,-141,,,0,D,D,D,,,priced_no_edge,partial,line_mismatch_0.5,"Low — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
2026-04-25,ATH@TEX,ATH,Tyler Soderstrom,MacKenzie Gore,7.37,34.15,+1256,+193,588,-7.16,1.5,155,-5.07,0.652,0,B,C,B,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-25,ATH@TEX,ATH,Jacob Wilson,MacKenzie Gore,2.08,20.62,+4696,+385,1200,-5.61,1.5,128,-23.24,0.569,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-25,ATH@TEX,ATH,Max Muncy,MacKenzie Gore,4.84,20.92,+1968,+378,438,-13.75,1.5,148,-19.40,0.277,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-25,ATH@TEX,ATH,Darell Hernaiz,MacKenzie Gore,5.82,26.29,+1617,+280,1230,-1.70,0.5,-156,,0.675,0,C,C,C,,,priced_no_edge,partial,line_mismatch_0.5,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
2026-04-25,ATH@TEX,ATH,Austin Wynns,MacKenzie Gore,0.40,6.00,+24900,+1567,840,-10.24,0.5,-117,,0.196,0,D,D,D,,,priced_no_edge,partial,line_mismatch_0.5,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
2026-04-25,ATH@TEX,ATH,Zack Gelof,MacKenzie Gore,6.42,29.08,+1457,+244,980,-2.84,0.5,102,,0.543,0,B,C,B,,,priced_no_edge,partial,line_mismatch_0.5,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
2026-04-25,ATH@TEX,TEX,Brandon Nimmo,Jeffrey Springs,4.68,30.23,+2037,+231,NA,,1.5,123,-14.62,0.630,0,B,D,B,,,unpriced,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
