report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,hr_market_integrity,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-29,AZ@MIL,AZ,Geraldo Perdomo,Brandon Sproat,1.04,22.48,+9515,+345,960,-8.39,1.5,148,-17.84,0.734,0,C,D,C,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Ketel Marte,Brandon Sproat,4.45,24.46,+2145,+309,397,-15.67,1.5,115,-22.05,0.366,0,C,D,C,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Corbin Carroll,Brandon Sproat,5.34,30.66,+1772,+226,461,-12.48,1.5,119,-15.00,0.573,0,B,D,B,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Adrian Del Castillo,Brandon Sproat,1.91,14.49,+5149,+590,548,-13.53,1.5,170,-22.55,0.394,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Ildemaro Vargas,Brandon Sproat,10.26,44.07,+875,+127,910,0.35,1.5,154,4.70,0.944,0,A+,A,A+,,,priced_below_gate,full,priced_below_prob_gate,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Lourdes Gurriel Jr.,Brandon Sproat,0.40,6.00,+24900,+1567,790,-10.84,1.5,145,-34.82,0.180,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Nolan Arenado,Brandon Sproat,3.45,25.84,+2795,+287,780,-7.91,1.5,182,-9.62,0.842,0,C,D,C,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Jose Fernandez,Brandon Sproat,4.61,28.79,+2067,+247,870,-5.70,1.5,198,-4.76,0.592,0,B,D,B,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,AZ,Alek Thomas,Brandon Sproat,6.44,33.14,+1452,+202,790,-4.79,1.5,202,0.03,0.839,0,B,C,B,,,priced_no_edge,full,priced_below_prob_gate,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Brandon Lockridge,Eduardo Rodriguez,0.40,6.00,+24900,+1567,1020,-8.53,1.5,150,-34.00,0.350,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Brice Turang,Eduardo Rodriguez,6.74,31.89,+1384,+214,780,-4.63,1.5,140,-9.77,0.436,0,B,C,B,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,William Contreras,Eduardo Rodriguez,2.30,19.28,+4242,+419,549,-13.11,1.5,122,-25.76,0.356,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Jake Bauers,Eduardo Rodriguez,6.46,31.91,+1447,+213,529,-9.43,1.5,143,-9.24,0.438,0,B,C,B,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Gary Sánchez,Eduardo Rodriguez,7.61,31.51,+1214,+217,366,-13.85,1.5,148,-8.82,0.429,0,B,C,B,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Luis Rengifo,Eduardo Rodriguez,0.40,11.59,+24900,+763,790,-10.84,1.5,148,-28.73,0.392,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Greg Jones,Eduardo Rodriguez,0.40,6.00,+24900,+1567,690,-12.26,1.5,196,-27.78,0.180,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Blake Perkins,Eduardo Rodriguez,0.40,6.00,+24900,+1567,830,-10.35,1.5,215,-25.75,0.256,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,AZ@MIL,MIL,Joey Ortiz,Eduardo Rodriguez,0.40,6.00,+24900,+1567,1200,-7.29,1.5,211,-26.15,0.312,0,D,D,D,,,priced_no_edge,full,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched",full,scored
2026-04-29,KC@ATH,KC,Maikel Garcia,Luis Severino,3.11,20.62,+3116,+385,768,-8.41,1.5,105,-28.16,0.353,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Bobby Witt Jr.,Luis Severino,8.57,41.38,+1066,+142,365,-12.93,1.5,-130,-15.14,0.692,0,A,B,A,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Carter Jensen,Luis Severino,8.77,35.43,+1040,+182,322,-14.93,1.5,110,-12.19,0.661,0,A,B,A,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Salvador Perez,Luis Severino,5.99,25.42,+1569,+293,395,-14.21,1.5,104,-23.60,0.559,0,C,C,C,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Michael Massey,Luis Severino,4.74,26.85,+2009,+272,500,-11.92,1.5,140,-14.82,0.534,0,C,D,C,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Isaac Collins,Luis Severino,1.87,13.45,+5260,+644,795,-9.31,1.5,164,-24.43,0.465,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Jac Caglianone,Luis Severino,9.38,38.06,+966,+163,445,-8.97,1.5,130,-5.42,0.658,0,A,B,A,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Lane Thomas,Luis Severino,1.13,18.33,+8738,+446,840,-9.51,1.5,178,-17.65,0.567,0,D,D,D,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,KC,Kyle Isbel,Luis Severino,4.37,24.77,+2190,+304,850,-6.16,1.5,178,-11.20,0.527,0,C,D,C,,,priced_no_edge,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, live markets matched — HR market partial via rotowire_only",full,scored
2026-04-29,KC@ATH,ATH,Nick Kurtz,Michael Wacha,12.21,46.24,+719,+116,NA,,1.5,104,-2.78,0.751,0,A+,A,A+,,,unpriced,partial,priced_no_edge,"High — stats+savant+recent; BvP disabled, confirmed lineup, limited or misaligned live markets — HR market partial via rotowire_only",partial,scored
