date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,KC@NYY,Maikel Garcia,KC,HR,2.96,+3281,700,12.50,-9.54,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 2 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Maikel Garcia,KC,2+ TB,24.03,+316,128,43.86,-19.83,C,"High — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,1.280,,,"1 H, 2 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Bobby Witt Jr.,KC,HR,1.97,+4982,420,19.23,-17.26,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Bobby Witt Jr.,KC,2+ TB,23.40,+327,-105,51.22,-27.82,C,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Vinnie Pasquantino,KC,HR,0.40,+24900,600,14.29,-13.89,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Vinnie Pasquantino,KC,2+ TB,9.62,+939,160,38.46,-28.84,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Jac Caglianone,KC,HR,3.54,+2728,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,Jac Caglianone,KC,2+ TB,25.64,+290,100,50.00,-24.36,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Carter Jensen,KC,HR,7.29,+1272,,,,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,,,,"2 H, 5 TB, 1 HR, 2 R, 2 RBI",target_accuracy
2026-04-18,KC@NYY,Carter Jensen,KC,2+ TB,29.48,+239,100,50.00,-20.52,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.000,,,"2 H, 5 TB, 1 HR, 2 R, 2 RBI",betting_roi
2026-04-18,KC@NYY,Michael Massey,KC,HR,0.40,+24900,900,10.00,-9.60,D,"Medium — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 2 TB, 0 HR, 0 R, 2 RBI",betting_roi
2026-04-18,KC@NYY,Michael Massey,KC,2+ TB,6.00,+1567,220,31.25,-25.25,D,"Medium — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,2.200,,,"1 H, 2 TB, 0 HR, 0 R, 2 RBI",betting_roi
2026-04-18,KC@NYY,Isaac Collins,KC,HR,0.40,+24900,820,10.87,-10.47,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Isaac Collins,KC,2+ TB,6.00,+1567,205,32.79,-26.79,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Lane Thomas,KC,HR,0.40,+24900,790,11.24,-10.84,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Lane Thomas,KC,2+ TB,6.00,+1567,190,34.48,-28.48,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Kyle Isbel,KC,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,Kyle Isbel,KC,2+ TB,6.00,+1567,,,,D,"High — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,Amed Rosario,NYY,HR,14.50,+590,,,,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,,,,"2 H, 5 TB, 1 HR, 2 R, 3 RBI",target_accuracy
2026-04-18,KC@NYY,Amed Rosario,NYY,2+ TB,50.91,-104,170,37.04,13.87,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.700,,,"2 H, 5 TB, 1 HR, 2 R, 3 RBI",betting_roi
2026-04-18,KC@NYY,Aaron Judge,NYY,HR,19.29,+418,,,,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 1 R, 0 RBI",target_accuracy
