date,game_id,away_team,home_team,selection,market_type,sportsbook,consensus_price,best_price,opening_price,current_price,line,model_probability,source,source_url,timestamp,confidence,fair_price,edge,playable_price,pass_price,recommendation
2026-05-02,823067,Los Angeles Dodgers,St. Louis Cardinals,St. Louis Cardinals,moneyline,FanDuel/StatMuse consensus cross-check,+120,+123,,+120,,0.512,FanDuel Research late odds page; StatMuse consensus cross-check,https://www.fanduel.com/research/mlb-betting-odds-05-2-2026,2026-05-02T20:49:06Z,Medium,-105,,+100,-120,GOOD_VALUE
2026-05-02,823388,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,moneyline,unavailable,,,,,,0.500,Official MLB Stats API late status check; prior report price unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,+100,,+105,-110,PASS_UNCERTAINTY
2026-05-02,825014,Cleveland Guardians,Athletics,Over,full_game_total,unavailable,,,,,9,0.550,Official MLB Stats API late status check; prior report price unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,9.5,,8.5,10.5,PASS_UNCERTAINTY
2026-05-02,822988,San Francisco Giants,Tampa Bay Rays,San Francisco Giants,moneyline,FanDuel/StatMuse,-116,-116,,-116,,0.583,FanDuel Research Giants/Rays odds; StatMuse cross-check,https://www.fanduel.com/research/giants-vs-rays-mlb-odds-prediction-point-spread-over-under-and-betting-trends-for-5-2-2026,2026-05-02T20:49:06Z,Medium,-140,,-125,,WATCHLIST
2026-05-02,824365,Atlanta Braves,Colorado Rockies,Atlanta Braves,moneyline,FanDuel/BetMGM/StatMuse,-230,-225,,-230,,,FanDuel Research Braves/Rockies odds; BetMGM/StatMuse cross-check,https://www.fanduel.com/research/braves-vs-rockies-mlb-odds-prediction-point-spread-over-under-and-betting-trends-for-5-2-2026,2026-05-02T20:49:06Z,Medium,,,-180,-228,LIKELY_OVERPRICED
2026-05-02,823308,Chicago White Sox,San Diego Padres,Under,full_game_total,StatMuse/BetMGM/FanDuel,-105,-105,,-105,7.5,,StatMuse CWS/SD consensus; BetMGM/FanDuel cross-check,https://www.statmuse.com/mlb/game/5-2-2026-white-sox-at-padres-234616,2026-05-02T20:49:06Z,Medium,,,,,WATCHLIST
2026-05-02,824284,Texas Rangers,Detroit Tigers,Over,full_game_total,FanDuel/StatMuse,+100,+100,,+100,8.5,,FanDuel Tigers/Rangers odds; StatMuse line conflict noted,https://www.fanduel.com/research/tigers-vs-rangers-mlb-odds-prediction-point-spread-over-under-and-betting-trends-for-5-2-2026,2026-05-02T20:49:06Z,Low,,,8/-110,-130,WATCHLIST
2026-05-02,824284,Texas Rangers,Detroit Tigers,Detroit Tigers,moneyline,FanDuel/StatMuse,-132,-132,,-132,,0.650,FanDuel Tigers/Rangers odds; StatMuse cross-check,https://www.fanduel.com/research/tigers-vs-rangers-mlb-odds-prediction-point-spread-over-under-and-betting-trends-for-5-2-2026,2026-05-02T20:49:06Z,Low,-200,,+100,+100,WATCHLIST
2026-05-02,823876,Philadelphia Phillies,Miami Marlins,Miami Marlins,moneyline,unavailable,,,,,,0.650,Official MLB Stats API late status check; prior report price unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,-200,,,,PASS_UNCERTAINTY
2026-05-02,823144,Kansas City Royals,Seattle Mariners,Seattle Mariners,moneyline,unavailable,,,,,,,Late refresh: no current verified free SEA ML source found,,2026-05-02T20:49:06Z,Low,,,,,PASS_UNCERTAINTY
