date,game_id,away_team,home_team,player,team,opponent,prop_type,line,over_price,under_price,sportsbook,consensus_price,best_price,raw_probability,fair_price,reason,source,source_url,timestamp,confidence,recommendation
2026-05-02,824365,Atlanta Braves,Colorado Rockies,Chris Sale,Atlanta Braves,Colorado Rockies,pitcher_strikeouts,7.5,+106,,FanDuel Research,+106,+106,0.535,-115,Late refresh verified Chris Sale O7.5 strikeouts at +106 on FanDuel Research; Opus raw probability/fair price retained.,FanDuel Research Chris Sale player prop; Covers/EVAnalytics cross-check remained plus-money,https://www.fanduel.com/research/mlb/player-news/game-updates/chris-sale-and-braves-play-rockies-on-may-2,2026-05-02T20:49:06Z,High,GOOD_VALUE
2026-05-02,823715,Toronto Blue Jays,Minnesota Twins,Dylan Cease,Toronto Blue Jays,Minnesota Twins,pitcher_strikeouts,6.5,,,unavailable,,,0.512,-105,"Opus final-card candidate, but official status was in progress at package build. Late refresh: official MLB status is live/final, so prior report price is unavailable for pregame final-card use.",Official MLB Stats API late status check; prior report prop unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,824365,Atlanta Braves,Colorado Rockies,Matt Olson,Atlanta Braves,Colorado Rockies,home_runs,0.5,+260,,FanDuel Research,+260,+260,0.120,+200,Late refresh verified Olson HR price at +260 on FanDuel Research; raw probability still does not support GOOD_VALUE.,FanDuel Research Matt Olson HR prop; BetMGM/PokerStars cross-check varied higher/lower,https://www.fanduel.com/research/mlb/player-news/game-updates/matt-olson-and-braves-play-rockies-on-may-2,2026-05-02T20:49:06Z,Medium,LOTTERY
2026-05-02,824771,Houston Astros,Boston Red Sox,Yordan Alvarez,Houston Astros,Boston Red Sox,home_runs,0.5,,,unavailable,,,0.100,,"Opus watchlist/value if price improves to +420; official status was in progress at package build. Late refresh: official MLB status is live/final, so prior report price is unavailable for pregame final-card use.",Official MLB Stats API late status check; prior report prop unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,823554,Baltimore Orioles,New York Yankees,Aaron Judge,New York Yankees,Baltimore Orioles,home_runs,0.5,,,unavailable,,,0.100,,"Opus HR watchlist; official status was in progress at package build. Late refresh: official MLB status is live/final, so prior report price is unavailable for pregame final-card use.",Official MLB Stats API late status check; prior report prop unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,823067,Los Angeles Dodgers,St. Louis Cardinals,Shohei Ohtani,Los Angeles Dodgers,St. Louis Cardinals,home_runs,0.5,+265,,FanDuel Research,+265,+265,0.080,,Late refresh verified Ohtani HR at +265 on FanDuel Research; raw probability does not support GOOD_VALUE.,FanDuel Research Shohei Ohtani HR prop,https://www.fanduel.com/research/mlb/player-news/game-updates/shohei-ohtani-and-dodgers-play-cardinals-on-may-2,2026-05-02T20:49:06Z,Medium,WATCHLIST
2026-05-02,822746,Milwaukee Brewers,Washington Nationals,James Wood,Washington Nationals,Milwaukee Brewers,home_runs,0.5,,,unavailable,,,0.070,,"Opus lottery watchlist; official status was in progress at package build. Late refresh: official MLB status is live/final, so prior report price is unavailable for pregame final-card use.",Official MLB Stats API late status check; prior report prop unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,823388,Cincinnati Reds,Pittsburgh Pirates,Elly De La Cruz,Cincinnati Reds,Pittsburgh Pirates,home_runs,0.5,,,unavailable,,,0.070,,"Opus lottery candidate; official status was in progress at package build. Late refresh: official MLB status is live/final, so prior report price is unavailable for pregame final-card use.",Official MLB Stats API late status check; prior report prop unavailable live/closed,"https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-05-02&hydrate=probablePitcher,team,linescore,venue,status",2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,823144,Kansas City Royals,Seattle Mariners,Seth Lugo,Kansas City Royals,Seattle Mariners,pitcher_strikeouts,6.5,,,unavailable,,,,,Opus under-6.5 lean; under-side price preserved but not convertible to an over final-card row. Late refresh did not find a current verified free prop price.,Late refresh: current free prop price not verified,,2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,823067,Los Angeles Dodgers,St. Louis Cardinals,Michael McGreevy,St. Louis Cardinals,Los Angeles Dodgers,pitcher_strikeouts,3.5,,,unavailable,,,,,Opus lean only; no numeric model probability provided. Late refresh did not find a current verified free prop price.,Late refresh: current free prop price not verified,,2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,824284,Texas Rangers,Detroit Tigers,Kumar Rocker,Texas Rangers,Detroit Tigers,pitcher_strikeouts,3.5,,,unavailable,,,,,Opus lean only; GPT also cites Detroit offensive cluster risk. Late refresh did not find a current verified free prop price.,Late refresh: current free prop price not verified,,2026-05-02T20:49:06Z,Low,PASS_UNCERTAINTY
2026-05-02,824284,Texas Rangers,Detroit Tigers,Spencer Torkelson,Detroit Tigers,Texas Rangers,home_runs,0.5,,,unavailable,,,0.100,,GPT updated PDF top raw HR candidate; no verified market price supplied.,GPT updated PDF,/Users/christianmay/Downloads/EchoIQ MLB Slate Prediction + Betting Intelligence Report.pdf,2026-05-02T18:00:00Z,Medium,LOTTERY
2026-05-02,824284,Texas Rangers,Detroit Tigers,Spencer Torkelson,Detroit Tigers,Texas Rangers,total_bases,3.5,,,unavailable,,,,,GPT updated PDF top raw total-bases candidate; no numeric probability or market price supplied.,GPT updated PDF,/Users/christianmay/Downloads/EchoIQ MLB Slate Prediction + Betting Intelligence Report.pdf,2026-05-02T18:00:00Z,Medium,STRONG_MATCHUP
2026-05-02,824284,Texas Rangers,Detroit Tigers,Riley Greene,Detroit Tigers,Texas Rangers,total_bases,2.5,,,unavailable,,,,,GPT updated PDF secondary Detroit total-bases candidate; no numeric probability or market price supplied.,GPT updated PDF,/Users/christianmay/Downloads/EchoIQ MLB Slate Prediction + Betting Intelligence Report.pdf,2026-05-02T18:00:00Z,Medium,WATCHLIST
2026-05-02,824365,Atlanta Braves,Colorado Rockies,Matt Olson,Atlanta Braves,Colorado Rockies,total_bases,,,,unavailable,,,,,Opus raw total-bases/watchlist strength at Coors; no actual total-bases market line supplied.,Opus Part 1 + Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part1.md,2026-05-02T18:00:00Z,Medium,STRONG_MATCHUP
