date,venue,game_id,away_team,home_team,temperature,wind_speed,wind_direction,wind_effect,humidity,dew_point,precipitation_risk,roof_status,delay_risk,source,source_url,timestamp,confidence
2026-05-02,Yankee Stadium,823554,Baltimore Orioles,New York Yankees,60,7,out,wind out supports right-field carry; GPT PDF also cites 5 mph out,,,,open,,Opus Part 2 + GPT updated PDF,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,Target Field,823715,Toronto Blue Jays,Minnesota Twins,59,9,out to CF,wind out supports carry,,,,open,,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,Wrigley Field,824685,Arizona Diamondbacks,Chicago Cubs,47,8,in,cold wind in suppresses HR confidence,,,,open,,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,Sutter Health Park,825014,Cleveland Guardians,Athletics,73,,out to LF,clear with wind out to left; supports run/HR environment,,,,open,,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,PNC Park,823388,Cincinnati Reds,Pittsburgh Pirates,50,9,out to RF,cold/rain risk but wind out to right,,,27,open,rain risk,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,Nationals Park,822746,Milwaukee Brewers,Washington Nationals,61,9,,mild wind; direction not specified in report extract,,,5,open,,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,Fenway Park,824771,Houston Astros,Boston Red Sox,56,8,out,Fenway wind out supports HR context,,,33,open,precipitation risk,Opus Part 2,/Users/christianmay/Library/Mobile Documents/com~apple~CloudDocs/Deep Research MLB/EchoIQ_May2_2026_Part2.md,2026-05-02T18:00:00Z,Low
2026-05-02,loanDepot park,823876,Philadelphia Phillies,Miami Marlins,75,7,in,GPT weather conflicts with indoor/roof context; treat as low confidence,,,,dome/retractable context unclear,,GPT updated PDF,/Users/christianmay/Downloads/EchoIQ MLB Slate Prediction + Betting Intelligence Report.pdf,2026-05-02T18:00:00Z,Low
2026-05-02,Tropicana Field,822988,San Francisco Giants,Tampa Bay Rays,,,,Tropicana Field indoor/roof context; weather muted.,,,,dome,none stated,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,High
2026-05-02,Busch Stadium,823067,Los Angeles Dodgers,St. Louis Cardinals,55,7,,"Parlay Savant current stadium weather: 55F, 7 mph wind, 0% precip.",,,0,open,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,Medium
2026-05-02,Comerica Park,824284,Texas Rangers,Detroit Tigers,50,5,,"Parlay Savant current stadium weather: 50F, 5 mph wind, 0% precip.",,,0,open,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,Medium
2026-05-02,Coors Field,824365,Atlanta Braves,Colorado Rockies,71,7,,"Parlay Savant current stadium weather: 71F, 7 mph wind, 0% precip.",,,0,open,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,Medium
2026-05-02,Petco Park,823308,Chicago White Sox,San Diego Padres,66,9,,"Parlay Savant current stadium weather: 66F, 9 mph wind, 0% precip.",,,0,open,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,Medium
2026-05-02,T-Mobile Park,823144,Kansas City Royals,Seattle Mariners,,,,Parlay Savant lists Seattle as indoor; weather muted.,,,,indoor,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,High
2026-05-02,Angel Stadium,824042,New York Mets,Los Angeles Angels,64,8,,"Parlay Savant current stadium weather: 64F, 8 mph wind, 0% precip.",,,0,open,low,Parlay Savant MLB weather late refresh,https://www.parlaysavant.com/weather?date=2026-05-02&sport=mlb,2026-05-02T20:49:06Z,Medium
