rank,game_id,game,market_type,team_or_player,side,sportsbook,consensus_price,best_price,opening_price,current_price,line,implied_probability,no_vig_probability,model_probability,fair_price,edge,playable_price,pass_price,market_status,raw_prediction_label,value_label,final_recommendation,risk_flags
1,824284,Texas Rangers@Detroit Tigers,moneyline,Detroit Tigers,,FanDuel/StatMuse,-132,-132,,-132.0,,0.569,0.569,0.65,-200,0.081,+100,+100,available,RAW_TOP,WATCHLIST,WATCHLIST,low_source_confidence
2,823067,Los Angeles Dodgers@St. Louis Cardinals,moneyline,St. Louis Cardinals,,FanDuel/StatMuse consensus cross-check,+120,+123,,120.0,,0.4545,0.4545,0.512,-105,0.0575,+100,-120,available,WATCHLIST,GOOD_VALUE,GOOD_VALUE,
3,,Atlanta Braves@Colorado Rockies,pitcher_strikeouts,Chris Sale,over,manual,,106.0,,106.0,7.5,0.4854,0.4854,0.535,-115,0.0496,,,available,GOOD_VALUE,GOOD_VALUE,GOOD_VALUE,
4,822988,San Francisco Giants@Tampa Bay Rays,moneyline,San Francisco Giants,,FanDuel/StatMuse,-116,-116,,-116.0,,0.537,0.537,0.583,-140,0.046,-125,,available,RAW_TOP,GOOD_VALUE,GOOD_VALUE,
5,,Atlanta Braves@Colorado Rockies,home_runs,Matt Olson,over,manual,,260.0,,260.0,,0.2778,0.2778,0.12,+200,-0.1578,,,available,WATCHLIST,PASS_PRICE,PASS_PRICE,
6,,Los Angeles Dodgers@St. Louis Cardinals,home_runs,Shohei Ohtani,over,manual,,265.0,,265.0,,0.274,0.274,0.08,+1150,-0.194,,,available,WATCHLIST,PASS_PRICE,PASS_PRICE,
7,823554,Baltimore Orioles vs New York Yankees,moneyline,Baltimore Orioles,away,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
8,823554,New York Yankees vs Baltimore Orioles,moneyline,New York Yankees,home,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
9,823715,Toronto Blue Jays vs Minnesota Twins,moneyline,Toronto Blue Jays,away,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
10,823715,Minnesota Twins vs Toronto Blue Jays,moneyline,Minnesota Twins,home,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
11,824685,Arizona Diamondbacks vs Chicago Cubs,moneyline,Arizona Diamondbacks,away,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
12,824685,Chicago Cubs vs Arizona Diamondbacks,moneyline,Chicago Cubs,home,unavailable,,,,,,,,0.5,-100,,,,unavailable,WATCHLIST,PASS_UNCERTAINTY,PASS_UNCERTAINTY,odds_unavailable
