slate_date,game_id,game,source,source_type,prediction_bucket,label,market_type,team,player,opponent,pitcher,line,odds,odds_estimated,implied_probability,fair_probability,fair_odds,edge,edge_pct,stake_units,confidence_tier,source_confidence,gates_passed,gate_status,gate_conditions,promotion_eligibility,kill_switch,audit_ledger,rationale_short,rationale_full,status,result,profit_units,grading_notes,source_urls,timestamp
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,LEAN,HR,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",,+450 at Covers; +410 FanDuel,,,,,,,,Lean,B,false,PENDING,Wind in at Rate Field; fair probability not loaded; need live price check,,NOT_CLEARED,,Gate review: Bobby Witt Jr. HR,Odds current: captured in report only. Lineup status: Confirmed No. 2. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Wind in at Rate Field; fair probability not loaded; need live price check.,verification_pending,LOSS,,"Bobby Witt Jr.: 1-for-3, BB, 1 TB, 0 HR. White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,LEAN,HR,Braves,Matt Olson,,"Ben Brown, RHP",,+320 to +350,,,,,,,,Lean,B,false,PENDING,Fair probability; bullpen confirmation; Brown quality indicators; Braves missing Acuna/Murphy,,NOT_CLEARED,,Gate review: Matt Olson HR,Odds current: captured in report only. Lineup status: Confirmed No. 3. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; bullpen confirmation; Brown quality indicators; Braves missing Acuna/Murphy.,verification_pending,LOSS,,"Matt Olson: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Braves,Drake Baldwin,,"Ben Brown, RHP",,+470,,,,,,,,Watchlist,B,false,PENDING,Fair probability; bullpen map; Brown-quality/small-sample risk,,NOT_CLEARED,,Gate review: Drake Baldwin HR,Odds current: captured in report only. Lineup status: Confirmed No. 1. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; bullpen map; Brown-quality/small-sample risk.,verification_pending,LOSS,,"Drake Baldwin: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Braves,Michael Harris II,,"Ben Brown, RHP",,+430,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Brown swing-and-miss/run-prevention risk,,NOT_CLEARED,,Gate review: Michael Harris II HR,Odds current: captured in report only. Lineup status: Confirmed No. 4. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Brown swing-and-miss/run-prevention risk.,verification_pending,LOSS,,"Michael Harris II: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Dodgers,Max Muncy,,"Landen Roupp, RHP",,+419,,,,,,,,Watchlist,B,false,PENDING,Fair probability; full Giants lineup context,,NOT_CLEARED,,Gate review: Max Muncy HR,Odds current: captured in report only. Lineup status: Confirmed No. 5. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; full Giants lineup context.,verification_pending,LOSS,,"Max Muncy: 0-for-3, BB, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Dodgers,Will Smith,,"Landen Roupp, RHP",,+520,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Giants lineup; Ohtani rest changes lineup shape,,NOT_CLEARED,,Gate review: Will Smith HR,Odds current: captured in report only. Lineup status: Confirmed No. 1. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Giants lineup; Ohtani rest changes lineup shape.,verification_pending,HIT,,"Will Smith: 1-for-3, HR, 1 RBI, BB, 4 TB. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Dodgers,Freddie Freeman,,"Landen Roupp, RHP",,+589,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Giants lineup,,NOT_CLEARED,,Gate review: Freddie Freeman HR,Odds current: captured in report only. Lineup status: Confirmed No. 2. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Giants lineup.,verification_pending,LOSS,,"Freddie Freeman: 0-for-4, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,HR,Dodgers,Kyle Tucker,,"Landen Roupp, RHP",,+590 to +610,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Giants lineup; TB may be cleaner than HR,,NOT_CLEARED,,Gate review: Kyle Tucker HR,Odds current: captured in report only. Lineup status: Confirmed No. 3. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Giants lineup; TB may be cleaner than HR.,verification_pending,LOSS,,"Kyle Tucker: 0-for-4, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,HR,Phillies,Kyle Schwarber,,"Ranger Suarez, LHP",,+390,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; relisted odds; lineup recheck; fair price,,NOT_CLEARED,,Gate review: Kyle Schwarber HR,Odds current: captured in report only. Lineup status: Confirmed No. 2 on MLB snapshot. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Delay resolution; relisted odds; lineup recheck; fair price.,verification_pending,HIT,,"Kyle Schwarber: 1-for-5, HR, 2 RBI, 4 TB. Phillies beat Red Sox 3-1 after delayed-start weather gate. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,HR,Phillies,Bryce Harper,,"Ranger Suarez, LHP",,+590 to +630,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; relisted odds; lineup recheck; fair price,,NOT_CLEARED,,Gate review: Bryce Harper HR,Odds current: captured in report only. Lineup status: Confirmed No. 3 on MLB snapshot. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Delay resolution; relisted odds; lineup recheck; fair price.,verification_pending,LOSS,,"Bryce Harper: 1-for-4, BB, 1 TB, 0 HR. Phillies beat Red Sox 3-1 after delayed-start weather gate. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
